Manejo de archivos a traves de CMD
----------------------------------

Comando   CMD	Descripción	Versión de Windows
append	  Determina la ruta en la que se tienen que buscar archivos.	32 bits/DOS
assoc	    Modifica el programa vinculado a una extensión de archivo determinada.	10/8/7/Vista/XP
attrib	  Cambia los atributos de determinados archivos. Con el parámetro +R puede protegerse un archivo, por ejemplo, de posibles cambios.	Cualquier Win/DOS
cipher	  Muestra y modifica el estado del cifrado de los archivos y directorios en particiones NTFS.	10/8/7/Vista/XP
comp	    Compara los contenidos de dos archivos o de dos conjuntos de archivos. El resultado puede representarse como valor decimal (/D) o como carácter ASCII (/A).	10/8/7/Vista/XP
compact	  Muestra y modifica el estado de compresión de los archivos y directorios en particiones NTFS.	10/8/7/Vista/XP
copy	    Copia uno o varios archivos en otro lugar. Además, también es posible unir varios archivos en uno. Como wildcard puede utilizarse el asterisco.	Cualquier Win/DOS
cscript	  Ejecuta scripts a través del Microsoft Script Host. Con la opción /D se activa la depuración de programas (debugging).	Cualquier Win/DOS
del	      Elimina uno o varios archivos. Para eliminar todos los archivos de las subcarpetas puede utilizarse el parámetro /S. Los archivos de solo lectura se eliminan con /F. Como alternativa también puede utilizarse el comando erase.	Cualquier Win/DOS
deltree	  Elimina un directorio y todos los subdirectorios y archivos incluidos en él.	98/95/DOS
diantz	  Comprime archivos sin pérdidas en formato CAB. El comando tiene la misma función que makecab.	7/Vista/XP
diskcomp	Compara el contenido de dos disquetes.	Cualquier Win (excepto 10)/DOS
diskcopy	Copia el contenido de un disquete en otro.	Cualquier Win (excepto 10)/DOS
endlocal	Finaliza el período de validez de los cambios en archivos batch o en scripts. Tras utilizar el comando, los cambios se aplican a todo el sistema y la localización se inicia con setlocal.	10/8/7/Vista/XP
erase	    Tiene la misma función que del.	Cualquier Win/DOS
exe2bin	  Convierte un archivo EXE en uno BIN.	32 bits
expand	  Extrae archivos y carpetas incluidos en archivos CAB.	Cualquier Win (excepto XP de 64 bits)/DOS
extrac32	Extrae archivos y carpetas comprendidos en archivos CAB. El programa forma parte de Internet Explorer, pero también puede emplearse en la línea de comandos.	Cualquier Win
extract	  Extrae archivos y carpetas incluidos en archivos CAB. Las nuevas versiones de Windows utilizan expand.	98/95
fc	      Compara dos archivos individuales o dos conjuntos de archivos entre sí y muestra sus diferencias.	Cualquier Win/DOS
for	      Especifica que se debe ejecutar un comando determinado para cada archivo de un conjunto de archivos. El comando se utiliza, sobre todo, en archivos batch y de script.	Cualquier Win/DOS
forfiles	Escoge uno o varios archivos y ejecuta un comando relacionado con dichos archivos. Se utiliza, sobre todo, para archivos batch y de script.	10/8/7/Vista
ftype	    Determina un programa con el que debe abrirse un tipo de archivo específico.	10/8/7/Vista/XP
goto	    Hace que la ejecución de un programa batch salte a una línea (marca) específica.	Cualquier Win/DOS
if	      Representa una sentencia condicional y como tal, ejecuta expresiones en archivos batch solo bajo ciertas condiciones. Puede ampliarse por medio de not en caso de que los comandos no puedan ejecutarse bajo ciertas condiciones.	Cualquier Win/DOS
makecab	  Comprime archivos sin pérdidas en formato CAB. Alternativamente también puede utilizarse el comando diantz.	10/8/7/Vista/XP
mklink	  Crea un enlace simbólico a un archivo. Con /D también pueden crearse enlaces con directorios. /H permite crear un enlace fijo en lugar de uno simbólico.	10/8/7/Vista
